n_centroids,seed,method,init_time_sec,kmeans_iterations,final_mse,final_gap,recall_nprobe_1,recall_nprobe_5,recall_nprobe_10,recall_nprobe_20
64,601,random,0.0,40,1.466690245088995,1.2064304137290116,0.10550000000000001,0.3282,0.4948,0.7025
64,601,kmeans_pp,0.05451846122741699,72,1.465807781015194,1.2083818648276419,0.097,0.3241,0.49180000000000007,0.7017
64,601,spherical_code,29.55601215362549,65,1.466426944951592,1.2159373910745501,0.0964,0.31760000000000005,0.4797,0.6932
64,602,random,0.0010135173797607422,29,1.4667999311867712,1.2001348006605808,0.10160000000000001,0.31460000000000005,0.4854,0.6915
64,602,kmeans_pp,0.05470871925354004,73,1.4664398497617774,1.2050169542379343,0.101,0.3162,0.48,0.6878
64,602,spherical_code,26.282533407211304,25,1.4668451234251498,1.2129454402725337,0.10080000000000001,0.31760000000000005,0.4875,0.6968
64,603,random,0.0015034675598144531,27,1.466450594319138,1.236052846615498,0.0999,0.31689999999999996,0.4845,0.6890999999999999
64,603,kmeans_pp,0.060389041900634766,76,1.4668691876970843,1.22528283977025,0.101,0.3163,0.4854,0.6985999999999999
64,603,spherical_code,27.609432697296143,73,1.4655329383872602,1.2020804536926308,0.098,0.3195,0.48769999999999997,0.6922
256,601,random,0.0009996891021728516,43,1.3559268040859935,1.1068394624701259,0.0509,0.16890000000000002,0.2651,0.4002
256,601,kmeans_pp,0.21881985664367676,50,1.3536231957573441,0.711075332017533,0.05109999999999999,0.169,0.26770000000000005,0.4023
256,601,spherical_code,448.0479941368103,94,1.3552051283427482,0.740926109501544,0.0535,0.16710000000000003,0.2602,0.3995
256,602,random,0.0,26,1.3567306495957028,1.0896894464497697,0.0514,0.1698,0.26189999999999997,0.3893
256,602,kmeans_pp,0.20968365669250488,49,1.3534786765940319,0.7043946947388531,0.0518,0.1709,0.2662,0.40040000000000003
256,602,spherical_code,437.93274879455566,72,1.354795708856519,0.7180402814857375,0.0521,0.16600000000000004,0.25880000000000003,0.4
256,603,random,0.0,33,1.3561128546513597,1.1084904041496149,0.0513,0.16490000000000005,0.26020000000000004,0.3995
256,603,kmeans_pp,0.2007443904876709,45,1.354521364441582,0.722388386780666,0.0528,0.16660000000000003,0.26259999999999994,0.3987
256,603,spherical_code,452.1212022304535,84,1.3556247649258497,0.737130463513413,0.05090000000000001,0.1612,0.25589999999999996,0.39220000000000005
